timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
13255.860000,Earth,2919.434036,34.333978,0.000000,0.440430,0.007770,0.000000,,,,,,,,,-37886834037124972900205461504.000000,
13255.860000,Moon,383762468.930010,13544695.437932,0.000000,-35.834239,1021.367818,0.000000,,,,,,,,,-37886834037124972900205461504.000000,
26529.239999,Earth,11689.580905,275.167839,0.000000,0.880899,0.031112,0.000000,,,,,,,,,-37886834037126674944205258752.000000,
26529.239999,Moon,383048912.006321,27090495.066923,0.000000,-71.671707,1019.468678,0.000000,,,,,,,,,-37886834037126674944205258752.000000,
39640.359999,Earth,26085.844473,917.718008,0.000000,1.314920,0.069429,0.000000,,,,,,,,,-37886834037126296712205303808.000000,
39640.359999,Moon,381877602.825615,40437780.522905,0.000000,-106.984548,1016.351130,0.000000,,,,,,,,,-37886834037126296712205303808.000000,
53026.210002,Earth,46644.109304,2195.770692,0.000000,1.756400,0.124149,0.000000,,,,,,,,,-37886834037116889290718052352.000000,
53026.210002,Moon,380204940.733660,54014134.266308,0.000000,-142.904304,1011.898976,0.000000,,,,,,,,,-37886834037116889290718052352.000000,
66835.000004,Earth,74029.413361,4394.254248,0.000000,2.209517,0.197046,0.000000,,,,,,,,,-37886834037112178982904659968.000000,
66835.000004,Moon,377976816.893931,67947844.568574,0.000000,-179.770756,1005.967961,0.000000,,,,,,,,,-37886834037112178982904659968.000000,
80090.669997,Earth,106185.885566,7556.738876,0.000000,2.641717,0.282649,0.000000,,,,,,,,,-37886834037112135002439548928.000000,
80090.669997,Moon,375360501.143951,81237833.149812,0.000000,-214.935448,999.003068,0.000000,,,,,,,,,-37886834037112135002439548928.000000,
93380.869990,Earth,144156.562340,11968.102887,0.000000,3.071781,0.383741,0.000000,,,,,,,,,-37886834037111158636114083840.000000,
93380.869990,Moon,372271129.926574,94461500.033388,0.000000,-249.926304,990.778084,0.000000,,,,,,,,,-37886834037111158636114083840.000000,
106480.089983,Earth,187150.740249,17728.579621,0.000000,3.491949,0.498219,0.000000,,,,,,,,,-37886834037110010745974685696.000000,
106480.089983,Moon,368773036.475773,107380218.811595,0.000000,-284.112075,981.463930,0.000000,,,,,,,,,-37886834037110010745974685696.000000,
119791.839976,Earth,236453.124882,25217.952702,0.000000,3.914633,0.629509,0.000000,,,,,,,,,-37886834037105753436951937024.000000,
119791.839976,Moon,364761694.541121,120375476.739025,0.000000,-318.502441,970.781865,0.000000,,,,,,,,,-37886834037105753436951937024.000000,
133052.519972,Earth,291129.173797,34514.917380,0.000000,4.330862,0.775130,0.000000,,,,,,,,,-37886834037086964982256500736.000000,
133052.519972,Moon,360313140.389670,133171471.810685,0.000000,-352.367711,958.933872,0.000000,,,,,,,,,-37886834037086964982256500736.000000,
146348.559984,Earth,351457.563567,45873.210752,0.000000,4.742841,0.935829,0.000000,,,,,,,,,-37886834037086120557326368768.000000,
146348.559984,Moon,355404700.330703,145835890.922161,0.000000,-385.887130,945.859039,0.000000,,,,,,,,,-37886834037086120557326368768.000000,
159507.189997,Earth,416517.878487,59312.370052,0.000000,5.144773,1.109162,0.000000,,,,,,,,,-37886834037084612027373060096.000000,
159507.189997,Moon,350111261.251402,158190573.544484,0.000000,-418.589198,931.756302,0.000000,,,,,,,,,-37886834037084612027373060096.000000,
172975.960009,Earth,488546.235390,75527.616853,0.000000,5.549702,1.301095,0.000000,,,,,,,,,-37886834037086001810070568960.000000,
172975.960009,Moon,344250888.154175,170636351.141298,0.000000,-451.534971,916.140283,0.000000,,,,,,,,,-37886834037086001810070568960.000000,
186404.400022,Earth,565741.608477,94364.753819,0.000000,5.946381,1.506837,0.000000,,,,,,,,,-37886834037083156273977884672.000000,
186404.400022,Moon,337970116.148299,182827589.180614,0.000000,-483.809571,899.400696,0.000000,,,,,,,,,-37886834037083156273977884672.000000,
199761.440034,Earth,647761.457144,115936.475957,0.000000,6.333477,1.725484,0.000000,,,,,,,,,-37886834037079321177420201984.000000,
199761.440034,Moon,331296815.031478,194723365.028140,0.000000,-515.304564,881.611148,0.000000,,,,,,,,,-37886834037079321177420201984.000000,
213140.300046,Earth,735045.737064,140563.169212,0.000000,6.713243,1.958217,0.000000,,,,,,,,,-37886834037076563602257739776.000000,
213140.300046,Moon,324195189.118545,206392882.274119,0.000000,-546.203043,862.675494,0.000000,,,,,,,,,-37886834037076563602257739776.000000,
226617.240059,Earth,828049.810943,168610.214543,0.000000,7.087244,2.206261,0.000000,,,,,,,,,-37886834037075094654723031040.000000,
226617.240059,Moon,316628189.176808,217884350.503171,0.000000,-576.632521,842.494109,0.000000,,,,,,,,,-37886834037075094654723031040.000000,
240027.250072,Earth,925535.025856,199925.322979,0.000000,7.450392,2.466323,0.000000,,,,,,,,,-37886834037074685636397498368.000000,
240027.250072,Moon,308696594.518587,229041520.034680,0.000000,-606.179030,821.334948,0.000000,,,,,,,,,-37886834037074685636397498368.000000,
253467.370084,Earth,1028062.277915,234897.191336,0.000000,7.804884,2.739909,0.000000,,,,,,,,,-37886834037063628947468582912.000000,
253467.370084,Moon,300354769.499498,239931940.587805,0.000000,-635.021160,799.075459,0.000000,,,,,,,,,-37886834037063628947468582912.000000,
266901.060097,Earth,1135235.229535,273611.800659,0.000000,8.149270,3.025972,0.000000,,,,,,,,,-37886834037059129745887723520.000000,
266901.060097,Moon,291634960.948728,250511272.690582,0.000000,-663.041140,775.800821,0.000000,,,,,,,,,-37886834037059129745887723520.000000,
280322.860109,Earth,1246864.469702,316212.457034,0.000000,8.482986,3.324016,0.000000,,,,,,,,,-37886834037057832322166947840.000000,
280322.860109,Moon,282552579.730249,260762276.549313,0.000000,-690.192900,751.551315,0.000000,,,,,,,,,-37886834037057832322166947840.000000,
293769.460122,Earth,1363119.193333,362983.555253,0.000000,8.806492,3.634505,0.000000,,,,,,,,,-37886834037058848270911012864.000000,
293769.460122,Moon,273093859.802652,270699310.407464,0.000000,-716.513999,726.289300,0.000000,,,,,,,,,-37886834037058848270911012864.000000,
307322.520134,Earth,1484619.648202,414428.910741,0.000000,9.121164,3.959108,0.000000,,,,,,,,,-37886834037063246317422116864.000000,
307322.520134,Moon,263208336.550056,280364839.340885,0.000000,-742.116391,699.878990,0.000000,,,,,,,,,-37886834037063246317422116864.000000,
320636.730147,Earth,1608054.690660,469325.469457,0.000000,9.418746,4.288987,0.000000,,,,,,,,,-37886834037061245206259564544.000000,
320636.730147,Moon,253165411.330422,289505466.685109,0.000000,-766.328268,673.039361,0.000000,,,,,,,,,-37886834037061245206259564544.000000,
334649.750160,Earth,1742160.196798,531925.800575,0.000000,9.719162,4.647506,0.000000,,,,,,,,,-37886834037057832322166947840.000000,
334649.750160,Moon,242254315.560011,298733483.313556,0.000000,-790.770759,643.869497,0.000000,,,,,,,,,-37886834037057832322166947840.000000,
347906.200172,Earth,1872816.547097,595840.502205,0.000000,9.990906,4.996928,0.000000,,,,,,,,,-37886834037068092964677353472.000000,
347906.200172,Moon,231623850.099032,307081345.553323,0.000000,-812.880377,615.439793,0.000000,,,,,,,,,-37886834037068092964677353472.000000,
360907.200184,Earth,2004375.218598,663083.754300,0.000000,10.245307,5.348887,0.000000,,,,,,,,,-37886834037067336500677443584.000000,
360907.200184,Moon,220919969.956276,314897320.281251,0.000000,-833.578962,586.803695,0.000000,,,,,,,,,-37886834037067336500677443584.000000,
374392.500197,Earth,2144242.854724,737728.707018,0.000000,10.496176,5.723211,0.000000,,,,,,,,,-37886834037063189142817472512.000000,
374392.500197,Moon,209540055.611927,322606032.245576,0.000000,-853.990126,556.347928,0.000000,,,,,,,,,-37886834037063189142817472512.000000,
387889.430209,Earth,2287527.148264,817553.473993,0.000000,10.733660,6.106825,0.000000,,,,,,,,,-37886834037059499181794656256.000000,
387889.430209,Moon,197882155.095870,329905189.883950,0.000000,-873.312351,525.136354,0.000000,,,,,,,,,-37886834037059499181794656256.000000,
401443.300222,Earth,2434547.033434,902983.744795,0.000000,10.958128,6.500593,0.000000,,,,,,,,,-37886834037067164976863510528.000000,
401443.300222,Moon,185920319.273797,336806465.050333,0.000000,-891.575507,493.098593,0.000000,,,,,,,,,-37886834037067164976863510528.000000,
414835.620234,Earth,2582708.327392,992691.526268,0.000000,11.165819,6.897575,0.000000,,,,,,,,,-37886834037069570708305084416.000000,
414835.620234,Moon,173865616.119509,343194609.179299,0.000000,-908.473646,460.799324,0.000000,,,,,,,,,-37886834037069570708305084416.000000,
427859.780246,Earth,2729374.562554,1085079.449103,0.000000,11.354086,7.290707,0.000000,,,,,,,,,-37886834037063435433422094336.000000,
427859.780246,Moon,161932553.978957,348988432.055289,0.000000,-923.791421,428.813337,0.000000,,,,,,,,,-37886834037063435433422094336.000000,
441388.090259,Earth,2884217.169064,1186511.376605,0.000000,11.535057,7.705922,0.000000,,,,,,,,,-37886834037063470617794183168.000000,
441388.090259,Moon,149334245.694467,354561657.682086,0.000000,-938.515628,395.030532,0.000000,,,,,,,,,-37886834037063470617794183168.000000,
454690.930271,Earth,3038768.162217,1291773.100321,0.000000,11.698277,8.120528,0.000000,,,,,,,,,-37886834037058333699469213696.000000,
454690.930271,Moon,136759663.663704,359592852.987083,0.000000,-951.795550,361.297352,0.000000,,,,,,,,,-37886834037058333699469213696.000000,
467730.140284,Earth,3192269.226687,1400338.468614,0.000000,11.843864,8.532488,0.000000,,,,,,,,,-37886834037055993938725306368.000000,
467730.140284,Moon,124270505.958488,364085827.213763,0.000000,-963.640811,327.779486,0.000000,,,,,,,,,-37886834037055993938725306368.000000,
481271.050296,Earth,3353583.671280,1518802.697175,0.000000,11.979755,8.965600,0.000000,,,,,,,,,-37886834037057045071841460224.000000,
481271.050296,Moon,111145635.811110,368286147.507088,0.000000,-974.697139,292.540638,0.000000,,,,,,,,,-37886834037057045071841460224.000000,
494570.210309,Earth,3513706.648895,1640892.734460,0.000000,12.097857,9.395698,0.000000,,,,,,,,,-37886834037055602512585818112.000000,
494570.210309,Moon,98117705.831854,371944396.154244,0.000000,-984.306158,257.546969,0.000000,,,,,,,,,-37886834037055602512585818112.000000,
507713.650321,Earth,3673398.305487,1767200.478062,0.000000,12.199451,9.824822,0.000000,,,,,,,,,-37886834037054459020492931072.000000,
507713.650321,Moon,85124869.005082,375100337.827477,0.000000,-992.572047,222.632574,0.000000,,,,,,,,,-37886834037054459020492931072.000000,
521202.270333,Earth,3838566.820511,1902714.650162,0.000000,12.287926,10.268857,0.000000,,,,,,,,,-37886834037048992248679628800.000000,
521202.270333,Moon,71686423.876368,377859999.779422,0.000000,-999.770549,186.504982,0.000000,,,,,,,,,-37886834037048992248679628800.000000,
534514.400346,Earth,4002638.721964,2042349.155535,0.000000,12.359431,10.710139,0.000000,,,,,,,,,-37886834037048741560028495872.000000,
534514.400346,Moon,58337201.450370,380104050.285637,0.000000,-1005.588352,150.601381,0.000000,,,,,,,,,-37886834037048741560028495872.000000,
547599.590358,Earth,4164739.923823,2185344.748014,0.000000,12.414299,11.146312,0.000000,,,,,,,,,-37886834037046819613703143424.000000,
547599.590358,Moon,45148319.137298,381842703.253015,0.000000,-1010.052525,115.113479,0.000000,,,,,,,,,-37886834037046819613703143424.000000,
561104.430371,Earth,4332685.029986,2338924.772635,0.000000,12.454804,11.598410,0.000000,,,,,,,,,-37886834037050091760307404800.000000,
561104.430371,Moon,31483964.926250,383149067.669850,0.000000,-1013.348111,78.329893,0.000000,,,,,,,,,-37886834037050091760307404800.000000,
574397.270383,Earth,4498420.645985,2496066.040332,0.000000,12.478608,12.044760,0.000000,,,,,,,,,-37886834037051793804307202048.000000,
574397.270383,Moon,17999379.312864,383949018.132488,0.000000,-1015.284803,42.013951,0.000000,,,,,,,,,-37886834037051793804307202048.000000,
587497.910395,Earth,4661966.549505,2656745.970830,0.000000,12.486421,12.485407,0.000000,,,,,,,,,-37886834037050892204772425728.000000,
587497.910395,Moon,4692953.144731,384264627.417831,0.000000,-1015.920525,6.161951,0.000000,,,,,,,,,-37886834037050892204772425728.000000,
601333.410408,Earth,4834682.650460,2832708.615457,0.000000,12.477776,12.950973,0.000000,,,,,,,,,-37886834037050632720028270592.000000,
601333.410408,Moon,-9359578.871867,384087831.028190,0.000000,-1015.217176,-31.717433,0.000000,,,,,,,,,-37886834037050632720028270592.000000,
615955.850422,Earth,5016956.999524,3025678.439645,0.000000,12.449761,13.442539,0.000000,,,,,,,,,-37886834037050716282911981568.000000,
615955.850422,Moon,-24189789.326380,383331548.721175,0.000000,-1012.937797,-71.712183,0.000000,,,,,,,,,-37886834037050716282911981568.000000,
629981.180435,Earth,5191273.660785,3217514.483974,0.000000,12.404675,13.912869,0.000000,,,,,,,,,-37886834037046665682075254784.000000,
629981.180435,Moon,-38372546.173376,382057266.621300,0.000000,-1009.269492,-109.979204,0.000000,,,,,,,,,-37886834037046665682075254784.000000,
644021.170448,Earth,5365014.048624,3416145.900518,0.000000,12.341718,14.381864,0.000000,,,,,,,,,-37886834037048596424493629440.000000,
644021.170448,Moon,-52508416.246857,380245081.785819,0.000000,-1004.147212,-148.137586,0.000000,,,,,,,,,-37886834037048596424493629440.000000,
657973.280461,Earth,5536668.188852,3620040.460227,0.000000,12.261555,14.845443,0.000000,,,,,,,,,-37886834037049665149795827712.000000,
657973.280461,Moon,-66474544.986453,377914863.595631,0.000000,-997.624965,-185.855296,0.000000,,,,,,,,,-37886834037049665149795827712.000000,
672154.500474,Earth,5709868.671773,3833889.397163,0.000000,12.162188,15.313415,0.000000,,,,,,,,,-37886834037051160485609603072.000000,
672154.500474,Moon,-80566487.301611,375008887.519793,0.000000,-989.540277,-223.930458,0.000000,,,,,,,,,-37886834037051160485609603072.000000,
686228.980487,Earth,5880247.119299,4052663.762938,0.000000,12.045858,15.773975,0.000000,,,,,,,,,-37886834037052506287842000896.000000,
686228.980487,Moon,-94428823.097606,371593080.291305,0.000000,-980.075447,-261.402576,0.000000,,,,,,,,,-37886834037052506287842000896.000000,
700115.120500,Earth,6046621.264799,4274832.853022,0.000000,11.913935,16.223915,0.000000,,,,,,,,,-37886834037056029123097395200.000000,
700115.120500,Moon,-107965360.765225,367708587.932953,0.000000,-969.341917,-298.010608,0.000000,,,,,,,,,-37886834037056029123097395200.000000,
714023.570513,Earth,6211308.652724,4503587.278874,0.000000,11.764890,16.669492,0.000000,,,,,,,,,-37886834037056614063283372032.000000,
714023.570513,Moon,-121364660.418058,363311100.130067,0.000000,-957.215275,-334.263661,0.000000,,,,,,,,,-37886834037056614063283372032.000000,
727834.470526,Earth,6372674.886321,4736831.013526,0.000000,11.600330,17.106275,0.000000,,,,,,,,,-37886834037053948847097643008.000000,
727834.470526,Moon,-134493744.223744,358448656.964708,0.000000,-943.826378,-369.801228,0.000000,,,,,,,,,-37886834037053948847097643008.000000,
741136.830538,Earth,6525846.623307,4967150.365562,0.000000,11.426425,17.521054,0.000000,,,,,,,,,-37886834037049357286540050432.000000,
741136.830538,Moon,-146956107.177499,353304419.615776,0.000000,-929.677103,-403.548431,0.000000,,,,,,,,,-37886834037049357286540050432.000000,
754346.210551,Earth,6675560.693755,5201278.558916,0.000000,11.238985,17.926634,0.000000,,,,,,,,,-37886834037053412285423288320.000000,
754346.210551,Moon,-159137147.373938,347755261.657878,0.000000,-914.426637,-436.547301,0.000000,,,,,,,,,-37886834037053412285423288320.000000,
767971.100563,Earth,6827287.595607,5448336.811969,0.000000,11.030488,18.337835,0.000000,,,,,,,,,-37886834037050685496586403840.000000,
767971.100563,Moon,-171481955.612924,341578739.057574,0.000000,-897.462878,-470.003419,0.000000,,,,,,,,,-37886834037050685496586403840.000000,
781732.510576,Earth,6977545.539439,5703503.855052,0.000000,10.804543,18.745220,0.000000,,,,,,,,,-37886834037025845329891688448.000000,
781732.510576,Moon,-183707246.450243,334881992.306588,0.000000,-879.079504,-503.149124,0.000000,,,,,,,,,-37886834037025845329891688448.000000,
795965.490589,Earth,7129569.038099,5973249.847408,0.000000,10.554933,19.157561,0.000000,,,,,,,,,-37886834037024728226077868032.000000,
