timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
13309.890000,Earth,2943.278920,34.755504,0.000000,0.442224,0.007833,0.000000,Apollo Test Craft,49497722.935290,1092220.633680,0.000000,3656.856972,1578.346455,0.000000,,-37886834037124994890438017024.000000,
13309.890000,Moon,383760528.861921,13599879.801743,0.000000,-35.980237,1021.362655,0.000000,,,,,,,,,-37886834037124994890438017024.000000,
26976.049999,Earth,12086.484233,289.304260,0.000000,0.895710,0.032168,0.000000,Apollo Test Craft,90031172.241015,21708402.935740,0.000000,2515.283698,1429.786754,0.000000,,-37886834037126701332484325376.000000,
26976.049999,Moon,383016619.147183,27545984.719099,0.000000,-72.876783,1019.382730,0.000000,,,,,,,,,-37886834037126701332484325376.000000,
40051.109999,Earth,26628.735706,946.532154,0.000000,1.328494,0.070874,0.000000,Apollo Test Craft,119844527.584404,39565861.204043,0.000000,2090.478241,1308.421383,0.000000,,-37886834037126292314158792704.000000,
40051.109999,Moon,381833432.094644,40855222.645610,0.000000,-108.088984,1016.233563,0.000000,,,,,,,,,-37886834037126292314158792704.000000,
53046.240002,Earth,46679.296607,2198.258337,0.000000,1.757060,0.124243,0.000000,Apollo Test Craft,145292115.441060,55966974.953539,0.000000,1844.043669,1219.942945,0.000000,,-37886834037116836514159919104.000000,
53046.240002,Moon,380202077.823387,54034402.526492,0.000000,-142.957930,1011.891356,0.000000,,,,,,,,,-37886834037116836514159919104.000000,
66034.540004,Earth,72271.265516,4238.403892,0.000000,2.183325,0.192366,0.000000,Apollo Test Craft,168095928.426452,71351327.025003,0.000000,1676.771474,1151.683542,0.000000,,-37886834037113142155090591744.000000,
66034.540004,Moon,378119863.365833,67142454.749349,0.000000,-177.639779,1006.348748,0.000000,,,,,,,,,-37886834037113142155090591744.000000,
79012.879997,Earth,103357.543414,7256.168834,0.000000,2.606690,0.275120,0.000000,Apollo Test Craft,189021422.503759,85930014.468792,0.000000,1553.540327,1096.750865,0.000000,,-37886834037111708391927971840.000000,
79012.879997,Moon,375590620.793588,80160786.757571,0.000000,-212.085574,999.615693,0.000000,,,,,,,,,-37886834037111708391927971840.000000,
92174.029990,Earth,140472.886726,11510.920061,0.000000,3.032877,0.373933,0.000000,Apollo Test Craft,208805682.076942,100051270.661507,0.000000,1456.756376,1050.484657,0.000000,,-37886834037112025051276771328.000000,
92174.029990,Moon,372570841.240231,93265306.874661,0.000000,-246.761009,991.576056,0.000000,,,,,,,,,-37886834037112025051276771328.000000,
