Body1,Body2,Body1_Mass,Body2_Mass,Distance,Body1_KineticEnergy,Body2_KineticEnergy,PotentialEnergy,TotalOrbitalEnergy,SimTime
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.289319e+15,9.185000e+27,-7.619234e+28,-6.700734e+28,9.512000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.315728e+16,9.185000e+27,-7.619234e+28,-6.700734e+28,9.513000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.960387e+16,9.185000e+27,-7.619234e+28,-6.700734e+28,9.514000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.262911e+16,9.185000e+27,-7.619234e+28,-6.700734e+28,9.515000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.223298e+16,9.185000e+27,-7.619234e+28,-6.700734e+28,9.516000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.184155e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.517000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.611766e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.518000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.105164e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.519000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.664349e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.520000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.289319e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.521000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.980076e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.522000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.736620e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.523000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.558950e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.524000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,6.447066e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.525000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,7.400968e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.526000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,8.420657e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.527000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,9.506133e+17,9.185000e+27,-7.619234e+28,-6.700734e+28,9.528000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.065739e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.529000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.187444e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.530000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.315728e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.531000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.450590e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.532000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.592031e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.533000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.740050e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.534000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,1.894648e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.535000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.055825e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.536000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.223580e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.537000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.397914e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.538000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.578826e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.539000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.766318e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.540000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,2.960387e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.541000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.161036e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.542000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.368263e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.543000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.582069e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.544000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,3.802453e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.545000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.029416e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.546000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.262958e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.547000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.503078e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.548000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,4.749777e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.549000e+03
Earth,Moon,5.972000e+24,7.348000e+22,3.844000e+08,5.003055e+18,9.185000e+27,-7.619234e+28,-6.700734e+28,9.550000e+03
