timestamp,body_name,planet_x,planet_y,planet_z,planet_vx,planet_vy,planet_vz,craft_name,craft_x,craft_y,craft_z,craft_vx,craft_vy,craft_vz,,system_energy
12960.090000,Earth,2790.620883,32.086740,0.000000,0.430606,0.007427,0.000000,,,,,,,,,-37886834037124937715833372672.000000,
12960.090000,Moon,383772949.429207,13242601.337842,0.000000,-35.035008,1021.395712,0.000000,,,,,,,,,-37886834037124937715833372672.000000,
25920.179999,Earth,11159.209570,256.650405,0.000000,0.860707,0.029700,0.000000,,,,,,,,,-37886834037126617769600614400.000000,
25920.179999,Moon,383092064.093029,26469542.362879,0.000000,-70.028872,1019.583529,0.000000,,,,,,,,,-37886834037126617769600614400.000000,
38880.309999,Earth,25095.986260,865.953080,0.000000,1.289798,0.066794,0.000000,,,,,,,,,-37886834037126147178623926272.000000,
38880.309999,Moon,381958139.695985,39665221.122350,0.000000,-104.940571,1016.565490,0.000000,,,,,,,,,-37886834037126147178623926272.000000,
51840.370002,Earth,44584.439057,2051.812505,0.000000,1.717371,0.118667,0.000000,,,,,,,,,-37886834037117038824299429888.000000,
51840.370002,Moon,380372519.679265,52813918.516161,0.000000,-139.728780,1012.345035,0.000000,,,,,,,,,-37886834037117038824299429888.000000,
64800.400004,Earth,69601.663917,4005.396641,0.000000,2.142925,0.185259,0.000000,,,,,,,,,-37886834037113678716764946432.000000,
64800.400004,Moon,378337067.562363,65900121.611568,0.000000,-174.352707,1006.926937,0.000000,,,,,,,,,-37886834037113678716764946432.000000,
77760.449998,Earth,100118.349094,6917.014748,0.000000,2.565961,0.266497,0.000000,,,,,,,,,-37886834037111809546997727232.000000,
77760.449998,Moon,375854168.208311,78908397.561423,0.000000,-208.771757,1000.317305,0.000000,,,,,,,,,-37886834037111809546997727232.000000,
90720.729991,Earth,136099.273819,10975.966746,0.000000,2.985987,0.362288,0.000000,,,,,,,,,-37886834037112055837602349056.000000,
90720.729991,Moon,372926687.250308,91823559.160621,0.000000,-242.945963,992.523476,0.000000,,,,,,,,,-37886834037112055837602349056.000000,
103680.839984,Earth,177501.057389,16370.060088,0.000000,3.402496,0.472524,0.000000,,,,,,,,,-37886834037111374140393127936.000000,
103680.839984,Moon,369558154.230218,104629917.214053,0.000000,-276.834009,983.554507,0.000000,,,,,,,,,-37886834037111374140393127936.000000,
116640.939978,Earth,224275.400245,23285.744897,0.000000,3.815003,0.597079,0.000000,,,,,,,,,-37886834037106144863091425280.000000,
116640.939978,Moon,365752498.898171,117312465.282041,0.000000,-310.396357,973.420474,0.000000,,,,,,,,,-37886834037106144863091425280.000000,
129600.989971,Earth,276367.084676,31907.673856,0.000000,4.223018,0.735811,0.000000,,,,,,,,,-37886834037086384440117035008.000000,
129600.989971,Moon,361514213.878851,129856138.767916,0.000000,-343.593286,962.132904,0.000000,,,,,,,,,-37886834037086384440117035008.000000,
142561.009981,Earth,333714.825060,42418.592364,0.000000,4.626060,0.888564,0.000000,,,,,,,,,-37886834037086296479186812928.000000,
142561.009981,Moon,356848285.494815,142246089.575682,0.000000,-376.385611,949.704600,0.000000,,,,,,,,,-37886834037086296479186812928.000000,
155521.029993,Earth,396251.202509,54999.121106,0.000000,5.023653,1.055165,0.000000,,,,,,,,,-37886834037084651609791660032.000000,
155521.029993,Moon,351760199.083373,154467652.700323,0.000000,-408.734598,936.149652,0.000000,,,,,,,,,-37886834037084651609791660032.000000,
168481.050005,Earth,463902.537878,69827.511225,0.000000,5.415326,1.235423,0.000000,,,,,,,,,-37886834037085583995652014080.000000,
168481.050005,Moon,346255949.329073,166506325.267638,0.000000,-440.601900,921.483468,0.000000,,,,,,,,,-37886834037085583995652014080.000000,
181441.190017,Earth,536589.779898,87079.628547,0.000000,5.800617,1.429136,0.000000,,,,,,,,,-37886834037081273910071132160.000000,
181441.190017,Moon,340341968.003423,178347921.117532,0.000000,-471.949967,905.722589,0.000000,,,,,,,,,-37886834037081273910071132160.000000,
194401.300029,Earth,614226.406601,106928.236756,0.000000,6.179064,1.636081,0.000000,,,,,,,,,-37886834037084361338721927168.000000,
194401.300029,Moon,334025294.709004,189978230.546550,0.000000,-502.741141,888.885144,0.000000,,,,,,,,,-37886834037084361338721927168.000000,
207361.450041,Earth,696721.215856,129543.425047,0.000000,6.550216,1.856022,0.000000,,,,,,,,,-37886834037078366801327292416.000000,
207361.450041,Moon,327313349.836135,201383486.293102,0.000000,-532.938887,870.990249,0.000000,,,,,,,,,-37886834037078366801327292416.000000,
220321.520053,Earth,783975.998840,155091.790464,0.000000,6.913629,2.088708,0.000000,,,,,,,,,-37886834037075323353141608448.000000,
220321.520053,Moon,320214123.853667,212550011.044028,0.000000,-562.506859,852.058515,0.000000,,,,,,,,,-37886834037075323353141608448.000000,
233281.580065,Earth,875888.062819,183736.905686,0.000000,7.268868,2.333871,0.000000,,,,,,,,,-37886834037076642767094939648.000000,
233281.580065,Moon,312735972.050548,223464567.734626,0.000000,-591.409827,832.111508,0.000000,,,,,,,,,-37886834037076642767094939648.000000,
246241.610077,Earth,972348.548328,215638.631270,0.000000,7.615507,2.591232,0.000000,,,,,,,,,-37886834037073608115002277888.000000,
246241.610077,Moon,304887751.453505,234114129.345979,0.000000,-619.613061,811.172114,0.000000,,,,,,,,,-37886834037073608115002277888.000000,
259201.660089,Earth,1073243.660151,250953.272008,0.000000,7.953130,2.860496,0.000000,,,,,,,,,-37886834037059244095097012224.000000,
259201.660089,Moon,296678720.671898,244486029.703537,0.000000,-647.082735,789.264279,0.000000,,,,,,,,,-37886834037059244095097012224.000000,
272161.690101,Earth,1178453.581748,289832.985034,0.000000,8.281328,3.141352,0.000000,,,,,,,,,-37886834037058197360027369472.000000,
272161.690101,Moon,288118628.222214,254567848.114383,0.000000,-673.785618,766.413247,0.000000,,,,,,,,,-37886834037058197360027369472.000000,
285121.740114,Earth,1287853.917971,332426.056144,0.000000,8.599706,3.433478,0.000000,,,,,,,,,-37886834037060418373515476992.000000,
285121.740114,Moon,279217595.145910,264347560.625682,0.000000,-699.689472,742.645254,0.000000,,,,,,,,,-37886834037060418373515476992.000000,
298094.500126,Earth,1401427.931147,378923.808956,0.000000,8.908173,3.736840,0.000000,,,,,,,,,-37886834037060686654352654336.000000,
298094.500126,Moon,269976983.253940,273822569.940138,0.000000,-724.786975,717.963134,0.000000,,,,,,,,,-37886834037060686654352654336.000000,
311054.610138,Earth,1518818.775699,429374.921581,0.000000,9.205750,4.050493,0.000000,,,,,,,,,-37886834037062353513980362752.000000,
311054.610138,Moon,260425826.225737,282962997.587923,0.000000,-748.998485,692.443644,0.000000,,,,,,,,,-37886834037062353513980362752.000000,
324014.640150,Earth,1639994.943922,483957.290095,0.000000,9.492378,4.374364,0.000000,,,,,,,,,-37886834037061676214817652736.000000,
324014.640150,Moon,250566687.591878,291767216.123756,0.000000,-772.319137,666.092850,0.000000,,,,,,,,,-37886834037061676214817652736.000000,
336974.680162,Earth,1764813.073356,542801.281643,0.000000,9.767707,4.708079,0.000000,,,,,,,,,-37886834037057471682353037312.000000,
336974.680162,Moon,240411231.612753,300224710.592624,0.000000,-794.720467,638.941138,0.000000,,,,,,,,,-37886834037057471682353037312.000000,
349934.860174,Earth,1893125.822808,606032.636761,0.000000,10.031400,5.051254,0.000000,,,,,,,,,-37886834037067723528770420736.000000,
349934.860174,Moon,229971446.266453,308325383.349522,0.000000,-816.175066,611.019775,0.000000,,,,,,,,,-37886834037067723528770420736.000000,
362895.040186,Earth,2024778.888491,673770.717576,0.000000,10.283128,5.403484,0.000000,,,,,,,,,-37886834037065929125793890304.000000,
