orbit_samples,point_samples,delta_v
0,500,inf
1,500,inf
2,500,inf
3,500,inf
4,500,inf
5,500,inf
6,500,inf
7,500,2122.264191
8,500,inf
9,500,inf
10,500,3535.806468
11,500,inf
12,500,inf
13,500,1910.153322
14,500,2122.264191
15,500,2400.387315
16,500,inf
17,500,1580.727539
18,500,inf
19,500,6359.029154
20,500,3535.806468
21,500,1750.088249
22,500,inf
23,500,inf
24,500,inf
25,500,1738.641323
26,500,1910.153322
27,500,2694.023839
28,500,2091.962107
29,500,1730.581560
30,500,1818.585556
31,500,2924.364336
32,500,1643.196168
33,500,1724.604238
34,500,1580.727539
35,500,2122.264191
36,500,1568.775547
37,500,1692.426472
38,500,1757.819039
39,500,1910.153322
40,500,3535.806468
41,500,1569.068584
42,500,1750.088249
43,500,3290.843087
44,500,3177.392209
45,500,2400.387315
46,500,1743.821561
47,500,1591.230567
48,500,inf
49,500,2062.293275
50,500,1641.178476
51,500,1580.727539
52,500,1910.153322
53,500,3430.902536
54,500,1734.288946
55,500,1760.812566
56,500,2091.962107
57,500,2031.020830
58,500,1730.581560
59,500,1755.049243
60,500,1566.619167
61,500,1712.298991
62,500,1727.386274
63,500,1716.344350
64,500,1643.196168
65,500,1910.153322
66,500,1724.604238
67,500,1634.827613
68,500,1580.727539
69,500,2351.863999
70,500,1694.451370
71,500,1594.711677
72,500,1568.775547
73,500,1576.862313
74,500,1692.426472
75,500,1738.641323
76,500,1591.848136
77,500,1576.415318
78,500,1718.068187
79,500,1735.660264
80,500,1558.943484
81,500,1571.118862
82,500,1569.068584
83,500,1709.241678
84,500,1750.088249
85,500,1580.727539
86,500,2289.803702
87,500,1730.581560
88,500,1746.798967
89,500,1763.387086
90,500,1818.585556
91,500,1728.401141
92,500,1545.453233
93,500,1576.533690
94,500,1591.230567
95,500,1667.984981
96,500,1558.055888
97,500,1756.131928
98,500,1783.667613
99,500,1724.604238
100,500,1641.178476
101,500,1598.782679
102,500,1580.727539
103,500,1545.343870
104,500,1572.899404
105,500,1548.100458
106,500,1764.057749
107,500,1593.809431
108,500,1568.775547
109,500,1604.705228
110,500,1697.074046
111,500,1692.426472
112,500,1732.363884
113,500,1566.790173
114,500,1757.819039
115,500,1691.201449
116,500,1730.581560
117,500,1742.708242
118,500,1668.334648
119,500,1580.727539
120,500,1566.619167
121,500,1564.808384
122,500,1639.006790
123,500,1569.068584
124,500,1727.386274
125,500,1541.903238
126,500,1716.344350
127,500,1586.775496
128,500,1622.375896
129,500,1736.812630
130,500,1709.639384
131,500,1622.202398
132,500,1540.468554
133,500,1667.940017
134,500,1634.827613
135,500,1756.606068
136,500,1580.727539
137,500,1604.918418
138,500,1743.821561
139,500,1558.186827
140,500,1694.451370
141,500,1559.119586
142,500,1594.711677
143,500,1585.674298
144,500,1568.775547
145,500,1633.779110
146,500,1576.862313
147,500,1585.822250
148,500,1649.732941
149,500,1548.175102
150,500,1598.633999
151,500,1572.922837
152,500,1591.848136
153,500,1580.727539
154,500,1576.415318
155,500,1586.095883
156,500,1718.068187
157,500,1540.478423
158,500,1712.756230
159,500,1586.222652
160,500,1558.943484
161,500,1572.877769
162,500,1571.118862
163,500,1586.343363
164,500,1569.068584
165,500,1577.001995
166,500,1548.033768
167,500,1568.687185
168,500,1715.538282
169,500,1695.789691
170,500,1576.479867
171,500,1586.568267
172,500,1697.531295
173,500,1566.730623
174,500,1730.581560
175,500,1635.118904
176,500,1594.522808
177,500,1649.865755
178,500,1729.465030
179,500,1558.805347
180,500,1566.619167
181,500,1693.207759
182,500,1540.485723
183,500,1712.298991
184,500,1541.925898
185,500,1638.396050
186,500,1576.533690
187,500,1580.727539
188,500,1569.151193
189,500,1593.707675
190,500,1594.292299
191,500,1541.881576
192,500,1558.055888
193,500,1548.215864
194,500,1725.490702
195,500,1545.395326
196,500,1739.850217
197,500,1717.707305
198,500,1572.935296
199,500,1579.940861
200,500,1586.883635
201,500,1634.827613
202,500,1559.189557
203,500,1568.702676
204,500,1580.727539
205,500,1569.068584
206,500,1545.343870
207,500,1540.491340
208,500,1572.899404
209,500,1715.695022
210,500,1548.100458
211,500,1624.342054
212,500,1634.109431
213,500,1594.711677
214,500,1593.809431
215,500,1727.815433
216,500,1568.775547
217,500,1545.297845
218,500,1572.867565
219,500,1566.884782
220,500,1594.926038
221,500,1559.055743
222,500,1568.999876
223,500,1639.176015
224,500,1643.196168
225,500,1558.298935
226,500,1566.790173
227,500,1559.965657
228,500,1591.848136
229,500,1564.710400
230,500,1571.240752
231,500,1576.415318
232,500,1540.495794
233,500,1566.701834
234,500,1718.068187
235,500,1558.133279
236,500,1668.334648
237,500,1735.660264
238,500,1576.959091
239,500,1540.462195
240,500,1558.943484
241,500,1734.737851
242,500,1564.808384
243,500,1541.937623
244,500,1639.006790
245,500,1572.943027
246,500,1569.068584
247,500,1576.459690
248,500,1598.513140
249,500,1709.241678
250,500,1541.903238
251,500,1598.693787
252,500,1568.775547
253,500,1591.046589
254,500,1548.144201
255,500,1572.913234
256,500,1622.375896
257,500,1540.499413
258,500,1736.812630
259,500,1558.847960
260,500,1709.639384
261,500,1594.879706
262,500,1580.933562
263,500,1559.227124
264,500,1540.468554
265,500,1564.695577
266,500,1624.533276
267,500,1649.644948
268,500,1616.124085
269,500,1591.957682
270,500,1569.125935
271,500,1548.059573
272,500,1566.904515
273,500,1586.933981
274,500,1604.918418
275,500,1568.721595
276,500,1545.453233
277,500,1616.243138
278,500,1558.186827
279,500,1566.827228
280,500,1616.281145
281,500,1580.151585
